MSZoning,Neighborhood,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,Fireplaces,TotalBsmtSF,SalePrice
RL,Somerst,74.0,9612,8,5,2008,2009,1468,2,3,Gd,3,898,1,1468,244600
RL,NAmes,57.0,7677,5,5,1953,1953,773,1,2,TA,1,240,0,773,110000
RM,BrDale,21.0,1680,5,5,1971,1971,1302,2,3,TA,1,280,0,630,112000
RL,NAmes,60.0,7200,5,7,1951,2000,900,1,3,Gd,2,576,0,900,134800
RM,BrkSide,50.0,6000,6,7,1926,2004,904,1,2,TA,1,180,0,884,119000
RL,Crawfor,,16381,6,5,1969,1969,1844,2,3,Gd,2,540,1,1844,223000
RL,Blmngtn,43.0,3182,7,5,2005,2006,1555,2,2,Gd,2,430,1,1373,192500
RL,NAmes,74.0,8532,5,6,1954,1990,1297,1,3,TA,2,498,1,1297,153000
RL,Edwards,50.0,8405,4,3,1945,1950,1529,2,4,TA,1,240,0,0,98000
RL,Edwards,,13680,3,5,1955,1955,1733,2,4,TA,2,452,1,0,139600
RL,SawyerW,76.0,9291,6,5,1993,1993,1710,2,3,Gd,2,506,0,832,187000
RL,NWAmes,78.0,12090,6,7,1984,2003,1868,3,3,TA,2,477,1,585,178000
RL,Mitchel,80.0,17400,5,5,1977,1977,1126,2,3,TA,2,484,1,1126,160000
FV,Somerst,,5105,7,5,2004,2004,1102,2,2,Gd,2,480,0,551,148800
RL,Crawfor,57.0,7558,6,6,1928,1950,1913,1,3,TA,2,342,1,896,177000
RL,Blmngtn,53.0,3982,8,5,2006,2006,1567,2,1,Ex,3,648,1,1520,264561
RL,NAmes,80.0,9600,5,6,1956,1956,1050,1,2,TA,1,338,0,1050,128900
RL,Somerst,92.0,11932,8,5,2007,2008,1580,2,3,Gd,3,830,0,1580,235128
FV,Somerst,72.0,8640,8,5,2009,2009,1314,2,3,Gd,2,552,0,1300,229456
RM,OldTown,60.0,10440,6,7,1920,1950,2792,2,5,TA,2,520,2,1510,256000
RL,ClearCr,79.0,12798,6,5,1997,1997,1688,2,4,Gd,2,603,0,616,200000
RL,Veenker,,11120,6,6,1984,1984,1232,2,3,TA,2,516,0,1232,162500
RM,Blueste,24.0,1300,6,6,1980,1980,1229,1,2,TA,2,462,1,561,124000
RL,OldTown,107.0,10615,3,5,1900,1970,1699,2,3,TA,2,420,0,978,95000
RM,OldTown,60.0,6000,4,4,1953,1953,936,1,2,TA,2,576,0,936,93000
RL,CollgCr,41.0,12393,7,5,2004,2005,1948,2,4,Gd,2,434,1,847,195000
RL,NridgHt,74.0,8834,9,5,2004,2005,2224,2,4,Ex,3,738,1,1462,350000
RH,Crawfor,82.0,6270,5,6,1949,1950,2002,2,4,TA,3,871,0,1001,145000
RL,NWAmes,,14803,6,5,1971,1971,1993,2,4,TA,2,495,1,825,190000
RL,CollgCr,95.0,13450,7,5,2002,2002,1861,2,3,Gd,2,492,0,916,200000
RL,NAmes,80.0,9600,5,6,1959,1959,1041,1,3,TA,1,270,0,1041,124500
RM,BrkSide,60.0,6180,6,5,1926,1950,986,1,2,TA,1,180,1,960,102000
RL,NridgHt,,3136,7,5,2003,2003,1405,2,2,Gd,2,478,1,1405,171750
RL,CollgCr,94.0,10402,7,5,2009,2009,1226,2,3,Gd,3,740,0,1226,198900
RL,BrkSide,55.0,10267,6,7,1918,2000,838,1,2,Fa,1,275,0,816,130000
RL,Edwards,45.0,8212,3,3,1914,1950,864,1,2,TA,1,200,0,864,58500
RL,Sawyer,,9000,5,3,1959,1959,1006,1,3,TA,0,0,0,1006,80000
RL,Veenker,68.0,50271,9,5,1981,1987,1842,0,0,Gd,3,894,1,1842,385000
RL,NridgHt,107.0,13891,8,5,2007,2008,1710,2,2,Gd,3,866,1,1710,372402
RL,NoRidge,93.0,12090,8,5,1998,1998,2263,2,4,Gd,2,420,1,1141,258000
RM,OldTown,60.0,11340,4,6,1885,1950,2290,2,4,TA,2,560,0,777,122500
RL,NAmes,,12493,4,5,1960,1960,1100,1,3,TA,1,312,1,1100,141000
RL,NAmes,,12925,6,7,1970,1970,2117,2,4,TA,2,550,2,1205,237500
RL,Edwards,,8926,4,3,1956,1956,960,1,3,TA,1,288,0,672,112000
RM,OldTown,51.0,6120,7,5,1931,1950,1774,2,2,TA,2,468,2,952,129900
RL,NAmes,60.0,11664,6,5,1948,1950,1082,1,2,TA,1,240,1,1082,119200
RM,OldTown,100.0,12000,5,7,1948,2005,1122,1,2,Gd,2,528,0,924,147000
RL,StoneBr,41.0,4920,8,5,2001,2001,1338,2,2,Gd,2,582,0,1338,213500
RL,Timber,,9303,6,5,1996,1997,1756,2,3,TA,2,422,0,872,204000
RL,NAmes,85.0,9350,6,7,1964,1991,1302,2,3,Gd,1,309,0,1302,158000
RM,IDOTRR,50.0,8765,4,6,1936,1950,951,1,2,TA,1,327,0,951,106500
RM,BrDale,21.0,1953,6,5,1973,1973,987,1,2,TA,1,264,0,483,83000
RL,Edwards,60.0,7024,5,5,2005,2006,1090,1,2,TA,2,450,0,1090,157000
RL,Edwards,60.0,10998,5,5,1941,1960,1604,2,3,TA,2,660,0,984,117000
FV,Somerst,,2117,6,5,2000,2000,1512,2,2,Gd,2,440,1,756,168500
RL,BrkSide,65.0,6435,6,5,1939,1950,1577,1,3,Fa,1,312,1,972,140200
RL,Veenker,,17542,7,7,1974,2003,2167,2,3,Gd,2,518,2,1192,294000
RL,Sawyer,88.0,8471,6,7,1977,1995,1212,1,3,TA,2,492,1,506,151000
RL,CollgCr,120.0,10356,5,6,1975,1975,969,1,3,TA,2,440,0,969,122000
RM,Edwards,35.0,3675,6,5,2005,2005,1072,1,2,TA,2,525,0,547,148000
RL,NridgHt,62.0,12677,8,5,2003,2004,1518,1,1,Ex,2,588,1,1518,274000
RL,Mitchel,,26142,5,7,1962,1962,1188,1,3,TA,1,312,0,1188,157900
FV,Somerst,85.0,10625,7,5,2005,2005,1958,2,3,Gd,3,936,1,1026,250000
RL,NPkVill,53.0,4043,6,6,1977,1977,1069,2,2,TA,2,440,0,1069,140000
RL,CollgCr,,11838,8,5,2001,2001,1788,2,3,Ex,2,522,1,1753,236500
RL,OldTown,60.0,10800,5,4,1900,1970,2414,2,3,TA,2,520,1,954,160000
RL,BrkSide,,6627,3,6,1949,1950,720,1,2,TA,1,287,0,0,72500
RL,NAmes,76.0,9120,6,6,1958,1958,1261,1,3,TA,2,433,1,1261,163000
RM,BrkSide,51.0,6120,5,7,1931,1993,875,1,2,TA,1,180,0,715,105000
RL,Sawyer,60.0,10200,5,8,1940,1997,672,1,2,TA,1,240,0,672,108000
RL,Edwards,35.0,9400,6,5,1975,1975,980,2,4,TA,0,0,0,945,127500
RL,OldTown,60.0,10410,3,4,1915,1950,1214,1,3,TA,3,936,0,672,105000
RL,Edwards,75.0,9937,5,7,1964,1999,1486,1,3,TA,2,480,0,1486,167000
RL,Crawfor,74.0,11988,6,7,1934,1995,1660,1,3,TA,1,240,1,715,188700
RL,Mitchel,,9947,7,5,1990,1991,1217,2,3,Gd,2,497,0,1188,173000
RL,Crawfor,75.0,12000,7,7,1941,1950,1564,1,3,Fa,1,234,1,704,174500
RL,Gilbert,60.0,15384,7,5,2004,2005,1490,2,3,Gd,2,388,1,788,184000
RL,Crawfor,78.0,12168,8,6,1934,1998,3194,2,4,TA,2,380,2,965,359100
RL,CollgCr,78.0,10335,7,5,1999,1999,1501,2,3,Gd,2,577,0,1490,204000
RL,Gilbert,,7750,7,5,2003,2003,1320,2,3,Gd,2,400,0,660,162000
RL,NoRidge,98.0,12203,8,5,1998,1999,2612,2,4,Gd,3,676,1,1225,336000
RL,NAmes,174.0,25419,8,4,1918,1990,3112,2,4,Gd,2,795,1,1360,235000
RL,SWISU,60.0,6204,4,5,1912,1950,2230,1,5,TA,1,440,0,795,118500
RL,ClearCr,83.0,10005,7,5,1977,1977,2022,2,4,TA,2,505,1,1160,192000
RL,NWAmes,,16659,7,7,1977,1994,2263,2,3,Gd,2,539,1,795,235000
RL,Gilbert,63.0,9084,7,5,1998,1998,1632,2,3,TA,2,462,1,935,176500
RL,Veenker,38.0,14963,8,5,1996,1996,1288,1,1,Ex,2,500,2,1260,245500
RL,NAmes,75.0,9464,6,7,1958,1958,1080,1,3,TA,1,288,0,1080,136000
RL,CollgCr,70.0,9135,6,5,2003,2003,1700,2,3,Gd,2,544,0,1682,200000
RL,OldTown,50.0,7000,6,6,1924,1950,1310,2,2,TA,1,398,0,617,112000
RL,Sawyer,60.0,9600,4,7,1950,1995,1067,2,2,Gd,2,436,0,1067,128000
RM,OldTown,69.0,9142,6,8,1910,1950,1928,2,4,Fa,1,440,0,1020,137000
RL,NWAmes,80.0,16692,7,5,1978,1978,2784,3,5,Gd,2,564,2,1392,250000
RL,CollgCr,75.0,9750,7,6,1998,1998,2097,2,3,Gd,2,583,1,1108,274300
RM,IDOTRR,,5890,6,8,1930,2007,816,1,2,TA,1,432,0,816,120500
RL,ClearCr,,53107,6,5,1992,1992,1953,2,3,Gd,2,501,2,1580,240000
RL,StoneBr,40.0,5664,8,5,2000,2000,1659,2,2,Ex,2,499,1,1501,278000
RL,Sawyer,102.0,17920,5,4,1955,1974,1779,1,3,TA,2,454,1,1763,170000
RL,Blmngtn,43.0,3010,7,5,2005,2006,1248,2,2,Gd,2,438,0,1248,167240
FV,Somerst,,7050,7,5,2001,2001,1929,2,3,Gd,2,650,1,1057,226000
RL,Veenker,80.0,9600,6,8,1976,1976,1262,2,3,TA,2,460,1,1262,181500
RL,CollgCr,77.0,9965,7,5,2007,2007,2696,2,4,Ex,3,792,1,1264,383970
RL,Sawyer,65.0,8450,5,8,1965,2009,894,1,3,TA,1,336,1,894,138500
RM,OldTown,60.0,10800,6,7,1905,2000,1912,2,3,TA,2,672,1,482,163000
RH,SawyerW,60.0,7800,5,5,1965,1965,965,1,3,TA,1,300,0,828,119900
RL,Mitchel,94.0,9400,6,5,1971,1971,1824,2,4,TA,0,0,0,912,139000
RL,CollgCr,,14781,8,5,2001,2002,1787,2,3,Gd,3,748,1,1753,275000
RL,Edwards,92.0,12108,4,4,1955,1955,1440,2,4,Fa,0,0,0,1440,118000
RL,NAmes,80.0,9600,6,5,1950,1950,1252,1,3,TA,1,288,0,1032,119000
RL,NoRidge,91.0,14303,8,5,1994,1994,1987,2,2,Gd,2,691,1,1986,301500
RL,Edwards,90.0,10012,4,5,1972,1972,1181,2,3,TA,2,588,0,1138,137500
RL,Gilbert,93.0,10261,6,5,2000,2000,1792,2,3,TA,2,451,1,936,186500
RL,Edwards,56.0,4060,5,8,1922,1950,864,1,2,TA,0,0,0,864,99900
RL,NAmes,80.0,8700,5,6,1963,1963,1128,2,3,TA,2,525,0,1120,155000
FV,Somerst,75.0,9000,8,5,2006,2006,1959,2,3,Gd,3,1025,1,1088,270000
RL,NAmes,70.0,7700,6,5,1966,1966,1839,1,4,TA,2,442,1,756,155000
RL,Sawyer,,7162,5,7,1966,1966,904,1,3,TA,1,408,0,876,109900
RL,CollgCr,61.0,8800,5,7,1977,2008,1040,2,3,Gd,2,484,0,1040,150500
RL,SawyerW,55.0,7892,6,5,1979,1979,918,2,2,TA,1,264,1,918,99500
RL,NAmes,80.0,9600,6,6,1955,1972,1520,1,3,TA,1,364,2,1156,153000
RL,NWAmes,85.0,11900,7,5,1977,1977,1411,2,3,TA,2,544,1,1386,82500
RM,OldTown,60.0,9600,6,5,1917,1950,2058,1,3,TA,2,396,1,735,129500
RL,Edwards,,19690,6,7,1966,1966,2201,2,4,Gd,2,432,1,697,274970
RL,Edwards,60.0,6931,7,5,2003,2004,1656,2,3,Gd,2,397,1,746,165400
RL,SawyerW,,16196,7,5,1998,1998,1494,2,3,Gd,2,514,1,1482,215000
RL,SawyerW,70.0,8400,6,6,1980,1981,1564,2,3,TA,2,476,1,650,171000
RL,NAmes,,10530,6,5,1971,1971,981,1,3,TA,2,576,0,981,143250
RL,Crawfor,55.0,10592,6,7,1923,1996,1502,1,3,Gd,1,180,2,602,165000
RL,NAmes,69.0,14850,5,5,1957,1957,1092,1,2,TA,1,299,1,1092,141000
RH,SWISU,55.0,4500,5,5,1932,2000,1520,1,3,TA,1,281,0,793,159434
RL,Sawyer,96.0,11777,5,6,1966,1966,1320,1,3,TA,2,564,2,1164,164500
RL,NridgHt,107.0,11362,8,5,2004,2005,1836,2,3,Gd,3,862,1,1836,280000
RM,OldTown,60.0,10120,7,4,1910,1950,1889,1,4,TA,1,308,1,925,122000
RL,OldTown,60.0,10800,5,6,1920,1950,1130,1,2,TA,2,720,1,1120,120000
RL,NoRidge,95.0,11787,7,5,1996,1997,2398,2,3,Gd,3,834,1,1379,315750
RL,Crawfor,,11275,6,7,1932,1950,1991,1,3,TA,2,432,1,854,220000
RL,Timber,85.0,14601,9,5,2006,2006,1838,2,2,Ex,3,765,1,1838,315000
RL,Sawyer,80.0,9364,6,7,1969,1969,1352,1,4,TA,1,299,0,663,158000
RL,NoRidge,59.0,10593,7,5,1996,1996,1720,2,3,Gd,2,527,1,1720,260400
RL,NAmes,70.0,9247,6,6,1962,1962,1716,1,4,TA,2,490,1,858,171000
RL,Sawyer,,7758,5,7,1962,2001,999,1,3,Gd,1,264,0,999,132500
RL,Gilbert,,9765,6,8,1993,1993,1470,2,3,TA,2,420,1,680,185000
RL,Edwards,60.0,7024,4,5,2005,2005,1132,1,2,Gd,2,451,0,1132,176000
RL,Edwards,66.0,21780,6,7,1918,1950,1674,2,4,TA,2,396,1,1163,185000
RH,NAmes,34.0,4060,6,5,1998,1999,1337,2,2,Gd,2,511,0,1405,181000
RL,SawyerW,65.0,8450,7,5,2000,2001,1349,2,3,TA,2,539,0,1349,179000
RL,NAmes,70.0,7931,5,5,1959,1959,1148,1,3,TA,1,672,0,1148,132500
RL,Sawyer,70.0,11184,6,5,1978,1978,1683,2,3,TA,2,440,1,918,172500
RM,MeadowV,21.0,1533,4,6,1970,2008,1344,1,3,TA,0,0,1,546,97000
RL,Sawyer,40.0,13673,5,5,1962,1962,1696,1,3,TA,1,349,1,1140,143900
RL,NAmes,,8339,5,7,1959,1959,882,1,3,TA,1,294,0,0,106500
RL,Gilbert,,10832,7,5,1994,1996,1895,2,3,Gd,2,409,1,712,194500
RL,NAmes,60.0,6600,5,5,1962,1962,894,1,2,TA,1,308,0,894,109500
RL,NAmes,69.0,7590,5,5,1962,1962,1812,2,4,TA,1,264,1,864,169500
RL,NWAmes,80.0,10421,7,5,1988,1988,1714,2,3,TA,2,496,1,980,196500
RL,SawyerW,66.0,13695,6,5,2003,2004,1114,1,3,Gd,2,576,0,1114,155000
RL,Somerst,83.0,9849,7,6,2007,2007,1689,2,3,Gd,3,954,0,1689,248328
RL,NAmes,79.0,9492,5,5,1941,1950,1376,1,3,TA,1,240,1,768,105000
RL,NAmes,75.0,13860,8,7,1972,1995,2704,2,4,Ex,2,538,3,1952,345000
RL,CollgCr,,11885,8,5,2001,2001,1872,2,3,Ex,2,531,1,1299,261500
RL,BrkSide,50.0,7207,5,7,1958,2008,858,1,2,TA,0,0,0,858,116500
RL,NAmes,60.0,6960,4,6,1970,1970,864,1,3,Gd,2,660,0,864,120500
RL,CollgCr,90.0,11248,9,5,2002,2002,1668,2,3,Gd,3,702,1,1626,285000
RL,Edwards,85.0,10625,5,5,1920,1950,835,1,2,TA,1,366,0,458,83000
RL,NAmes,75.0,9000,5,5,1954,1954,1128,1,2,TA,1,286,0,936,118000
RL,SWISU,51.0,10480,6,5,1936,1950,1639,1,3,TA,1,240,0,1064,115000
RL,Edwards,70.0,9170,5,7,1965,1965,1214,1,2,TA,2,461,0,1214,140000
RL,NWAmes,78.0,11700,6,6,1968,1968,1556,1,4,TA,2,441,0,727,154000
RL,NridgHt,43.0,7052,7,5,2005,2005,1364,2,2,Gd,2,484,1,1364,185850
RL,Gilbert,,13006,7,5,1997,1997,2236,2,4,Gd,2,642,1,964,222000
RL,Mitchel,78.0,10530,6,5,1977,1977,1004,1,2,TA,2,504,0,975,135000
RM,Edwards,80.0,8546,4,5,2003,2004,1121,2,2,TA,2,440,0,1121,140000
RL,Sawyer,78.0,10335,5,6,1968,1993,1721,2,3,TA,2,440,1,1461,180000
RL,CollgCr,103.0,11175,7,5,2007,2007,1316,2,3,Gd,2,440,1,1316,200141
RL,NAmes,84.0,8658,6,5,1965,1965,1324,2,3,TA,2,440,1,1088,160000
RL,StoneBr,,5814,8,5,1984,1984,1360,1,1,Gd,2,565,1,1220,187500
RL,NAmes,73.0,8760,6,6,1959,1959,1194,1,3,TA,1,312,0,1194,148000
RL,StoneBr,88.0,11394,9,2,2010,2010,1856,1,1,Ex,3,834,1,1856,394432
RL,Sawyer,,9819,5,5,1967,1967,900,1,3,TA,1,280,0,882,122000
RL,Edwards,60.0,8160,5,6,1940,1950,1134,1,3,TA,1,240,0,756,126000
RL,Mitchel,71.0,12209,6,5,2001,2002,1961,2,3,Gd,2,560,1,804,215000
RL,Mitchel,60.0,6600,5,8,1982,2003,816,1,2,TA,2,816,0,816,138000
RL,Sawyer,109.0,8724,5,5,1968,1968,894,1,3,TA,2,450,1,894,129000
RM,MeadowV,,1974,4,5,1973,1973,1092,1,3,TA,1,286,0,546,83500
RL,Edwards,85.0,10452,6,5,1953,1953,1094,1,3,TA,2,495,2,1094,155000
RL,Crawfor,90.0,14115,6,7,1956,2004,1811,1,2,Ex,2,470,1,1073,230000
RL,OldTown,60.0,10800,4,7,1900,2000,1294,2,3,TA,0,0,0,0,106250
RL,CollgCr,,9375,7,5,1997,1998,2034,2,3,Gd,2,645,0,1057,219500
RL,NAmes,,10920,6,5,1960,1960,1253,1,2,TA,1,352,1,1253,157000
RL,Timber,,11170,7,5,1990,1991,2514,2,4,TA,2,693,0,1216,250000
RL,NAmes,,11000,5,6,1966,1966,1154,1,3,TA,2,480,1,1154,154000
RL,Gilbert,105.0,15578,6,5,2006,2006,1456,2,3,TA,2,429,0,728,172785
RL,Gilbert,60.0,8123,6,5,2000,2000,1800,2,3,TA,2,463,1,982,179000
RL,OldTown,60.0,10410,5,7,1916,1987,1656,2,3,TA,1,180,0,660,135000
RL,NoRidge,82.0,9430,8,5,1999,1999,2365,2,3,Gd,3,856,1,1252,337000
RL,CollgCr,65.0,8450,7,5,2004,2004,1436,2,3,Gd,2,484,0,1436,210000
RL,Mitchel,,11333,6,5,1976,1976,1062,1,3,TA,2,539,2,1029,146800
RL,OldTown,60.0,10800,5,8,1936,1989,1466,2,3,Gd,2,566,1,796,170000
RL,Sawyer,88.0,11782,5,7,1961,1995,1155,1,3,Gd,2,576,0,1109,148000
RL,CollgCr,70.0,9135,7,5,2002,2003,1536,2,3,Gd,2,532,0,1536,214000
RL,CollgCr,69.0,9920,5,6,1969,1969,971,1,3,TA,1,300,1,971,128500
RL,Mitchel,37.0,7937,6,6,1984,1984,1003,1,3,TA,2,588,0,1003,142500
RL,CollgCr,73.0,11883,7,5,1996,1996,1504,2,3,Gd,2,478,1,1504,203000
RL,NAmes,95.0,11345,5,5,1948,1950,1920,2,4,TA,2,400,0,928,137000
RL,NWAmes,80.0,9600,7,6,1973,1973,1242,1,3,TA,2,528,1,1242,175500
RL,Crawfor,66.0,9042,7,9,1941,2006,2340,2,4,Gd,1,252,2,1152,266500
RL,CollgCr,48.0,12137,7,5,1998,1998,1661,2,3,Gd,2,598,0,1649,224900
RL,Edwards,,7917,6,7,1976,1976,1113,1,3,TA,1,504,1,1143,148000
RL,BrkSide,51.0,4712,4,7,1946,1950,1230,1,3,TA,1,305,0,747,121600
RL,Mitchel,75.0,10125,6,6,1977,1977,1279,2,3,TA,2,473,2,1196,171500
RL,NridgHt,110.0,13688,9,5,2003,2004,2668,2,3,Ex,3,726,2,1572,412500
RM,IDOTRR,52.0,6240,4,5,1925,1950,1208,1,2,TA,2,539,0,780,103000
RL,CollgCr,65.0,8767,7,5,2005,2005,1310,2,3,Gd,2,400,1,1310,164990
RL,StoneBr,82.0,12438,8,5,2006,2006,2576,2,4,Ex,3,666,1,1234,361919
RM,OldTown,60.0,7200,5,5,1980,1980,936,1,2,TA,2,672,0,936,140000
RL,SWISU,66.0,6858,6,4,1915,1950,1647,1,4,Fa,1,216,0,806,128000
RL,CollgCr,64.0,7406,7,5,2006,2006,1220,2,2,Gd,2,632,0,1199,194000
RL,CollgCr,70.0,7700,5,5,1972,1972,882,1,3,TA,2,461,0,882,112500
RM,BrDale,24.0,2016,5,5,1970,1970,1302,2,3,TA,2,440,0,630,106000
RL,Gilbert,99.0,11851,7,5,1990,1990,1442,2,3,TA,2,500,0,1424,180500
RL,NridgHt,60.0,7313,9,5,2005,2005,1561,2,2,Ex,2,556,1,1561,277500
RM,Mitchel,32.0,4500,6,5,1998,1998,1204,2,2,TA,2,412,0,1204,162000
RM,OldTown,60.0,9600,7,9,1928,2005,1378,2,3,Gd,2,360,1,689,161000
RM,CollgCr,,4426,6,5,2004,2004,848,1,1,Gd,2,420,1,848,149300
RL,CollgCr,70.0,9100,7,5,2000,2000,1525,2,3,Gd,2,541,0,1525,235000
RL,NAmes,85.0,8500,5,3,1961,1961,1235,1,2,TA,2,480,0,1235,98600
RL,Gilbert,73.0,8499,6,5,2006,2007,1412,2,3,Gd,2,432,1,616,156932
RL,SawyerW,64.0,7018,5,5,1979,1979,2240,2,6,TA,2,528,0,0,142953
RL,NoRidge,,13346,7,5,1992,2000,2295,2,4,Gd,2,590,1,1095,268000
RL,CollgCr,48.0,10635,8,5,2003,2003,1668,2,3,Gd,2,502,1,1657,232000
RL,CollgCr,86.0,11210,7,5,2005,2006,1614,2,3,Gd,3,865,0,1614,221500
RM,OldTown,40.0,3880,5,9,1945,1997,866,1,2,Gd,0,0,0,686,110500
RL,CollgCr,91.0,10652,7,5,2006,2007,1494,2,3,Gd,3,840,1,1494,279500
RL,Gilbert,71.0,7795,7,5,2004,2005,1432,2,3,Gd,2,432,1,716,188500
RL,NridgHt,74.0,10927,8,5,2005,2005,1904,2,3,Ex,2,736,1,1058,275000
RL,Edwards,72.0,7200,6,6,1976,1976,1125,1,3,TA,1,352,1,1041,125000
RM,Edwards,35.0,3675,6,5,2005,2006,1072,2,2,TA,2,525,0,547,140000
RL,ClearCr,,10708,5,5,1955,1993,1867,1,2,TA,1,303,3,1617,190000
RH,SWISU,,12155,6,8,1925,1950,1482,2,4,Fa,1,400,0,672,140000
RL,NridgHt,101.0,14215,8,5,2005,2006,2376,3,4,Gd,3,853,1,1158,325300
RL,NAmes,60.0,7200,5,5,1950,1950,1048,1,3,TA,2,420,0,0,98300
RL,NAmes,,13700,7,6,1965,1988,1820,1,4,Gd,2,492,2,864,201800
FV,Somerst,30.0,3180,7,5,2005,2005,1200,2,2,Gd,2,480,0,600,151000
RL,Timber,89.0,13214,9,5,2008,2009,2018,2,3,Ex,3,746,1,2002,378500
RL,Edwards,63.0,13907,5,6,1940,1969,996,1,3,TA,0,0,1,996,108000
RM,CollgCr,37.0,4435,6,5,2003,2003,848,1,1,Gd,2,420,0,848,136500
FV,Somerst,84.0,10207,7,6,2007,2007,1761,3,3,Gd,2,578,0,874,227875
RL,Sawyer,70.0,7420,5,5,1962,1962,1057,1,3,TA,2,576,0,1057,132000
RL,StoneBr,41.0,4923,8,5,2001,2002,1593,1,0,Ex,2,682,1,1593,286000
FV,Somerst,,2651,7,5,2000,2000,1382,2,3,Gd,2,490,0,673,165000
FV,Somerst,59.0,4282,7,5,2004,2004,1391,2,2,Gd,2,530,0,1391,196000
RL,NAmes,75.0,14559,5,7,1951,2000,1363,1,2,TA,1,288,2,1008,164900
RL,CollgCr,70.0,8749,7,5,2002,2002,1459,2,3,Gd,2,527,1,1459,192000
RL,StoneBr,41.0,5330,8,5,2000,2000,1652,2,2,Ex,2,499,0,1494,251000
RL,CollgCr,,10970,6,6,1978,1978,1026,1,3,TA,2,576,0,940,147000
RM,OldTown,65.0,11700,7,7,1880,2003,2640,1,4,Gd,4,864,1,1240,265979
RL,SawyerW,65.0,8366,6,5,2004,2004,1640,2,3,Gd,2,520,0,798,173000
RM,IDOTRR,57.0,7449,7,7,1930,1950,1108,1,3,Gd,1,280,1,637,139400
RM,OldTown,153.0,4118,4,4,1941,1950,693,1,2,Fa,0,0,0,693,52500
RL,BrkSide,,7015,5,4,1950,1950,1203,1,3,Gd,1,352,1,709,110000
RL,Timber,50.0,35133,5,4,1963,1963,1572,1,3,TA,3,995,2,1572,186700
RL,Mitchel,129.0,9196,7,5,2003,2003,1560,2,3,Gd,2,573,0,1560,201000
RH,Crawfor,82.0,7136,6,6,1946,1950,1958,2,4,TA,2,492,0,979,145000
RL,Sawyer,99.0,7094,5,5,1966,1966,894,1,3,TA,1,384,0,894,125000
RL,Blmngtn,43.0,3182,8,5,2004,2005,1269,2,2,Gd,2,430,1,1256,192000
RL,Somerst,91.0,12274,7,5,2008,2008,1428,2,3,Ex,2,554,0,1417,227680
RL,NridgHt,96.0,12444,8,5,2008,2008,1932,2,2,Ex,3,774,1,1932,394617
RL,NridgHt,63.0,8849,9,5,2005,2005,1684,2,2,Ex,2,564,1,1684,266000
RL,StoneBr,47.0,53504,8,5,2003,2003,3279,3,4,Ex,3,841,1,1650,538000
RL,Edwards,67.0,8877,4,6,1938,1958,816,1,2,TA,1,288,1,816,100000
RL,NAmes,88.0,14200,7,6,1966,1966,2157,2,4,Gd,2,487,2,924,226000
RL,CollgCr,70.0,8750,6,5,1998,1998,1682,2,3,Gd,2,523,0,804,200500
RL,Edwards,50.0,9405,5,9,1947,2008,698,1,2,TA,0,0,0,698,118000
RL,Timber,,57200,5,5,1948,1950,1687,1,3,TA,2,572,2,747,160000
FV,Somerst,40.0,3951,6,5,2009,2009,1224,2,2,Gd,2,528,0,612,164500
RL,NAmes,,10624,5,4,1964,1964,1728,2,6,TA,1,352,0,1728,119000
RL,SawyerW,63.0,13072,6,5,2005,2005,1141,1,3,TA,2,484,0,1141,142500
RL,NAmes,85.0,10628,7,5,1970,1970,1277,1,2,TA,2,526,1,1277,167000
RM,IDOTRR,50.0,6060,4,5,1939,1950,1123,1,3,TA,1,264,0,732,100000
RL,NWAmes,80.0,9600,8,5,1981,1981,2524,2,4,Gd,2,542,1,2524,278000
RL,CollgCr,78.0,9317,6,5,2006,2006,1314,2,3,Gd,2,440,1,1314,176432
RL,SWISU,65.0,7804,4,3,1928,1950,1981,2,4,Gd,2,576,2,1122,135000
RL,Edwards,60.0,8172,5,7,1955,1990,864,1,2,TA,2,572,0,864,115000
RL,Crawfor,55.0,7642,7,8,1918,1998,1426,1,3,Gd,1,216,1,912,189950
RL,Blmngtn,53.0,3684,7,5,2007,2007,1555,2,2,Gd,3,660,1,1373,174000
